ANID,Alt_ID,Standard,Investigator,Source,Region,Country,State/Province,County/District,Subregion,Site_Name,Site_Number,Material,Ware,Ceramic_Type,Form,Exterior_Decoration,Interior_Decoration,Paste_Color,Major_Temper,Minor_Temper,Culture,Context,Provenience,Era/Period,Date_Range,Picture,Comments,Notes,Chemgrp,Spare_ANID,Long_RDF,Long_Date,Short_RDF,Short_Date,As,La,Lu,Nd,Sm,U,Yb,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
GMP069,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP069,AMC2,04/20/14,AQT1-S,04/24/14,14.761,26.903,0.510,28.473,6.036,8.382,2.795,57.198,15.415,33.727,9.523,1.218,46512.7,4.507,0.000,113.897,2.991,17.814,223.384,0.722,1.077,11.297,148.332,163.997,87980.8,598.7,15360.2,3.905,23564.5,844.4,11243.2,4587.2,128.6
GMP070,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP070,AMC2,04/20/14,AQT1-S,04/24/14,18.827,25.791,0.381,20.839,5.727,6.254,2.845,54.457,13.453,34.942,8.648,1.146,44403.0,5.424,0.000,110.762,2.680,18.181,189.958,0.737,0.996,10.589,149.451,174.589,90226.8,617.9,15133.4,4.153,23786.8,1072.3,12634.8,4726.2,132.7
GMP071,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP071,AMC2,04/20/14,AQT1-S,04/24/14,22.099,22.645,0.381,18.972,5.310,4.195,2.865,48.194,13.931,33.166,9.317,1.090,43918.1,3.576,0.000,108.728,2.795,16.787,112.381,0.650,0.655,11.262,155.009,108.919,91417.5,478.9,11487.3,3.965,22847.3,702.6,14578.8,4155.2,132.7
GMP072,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP072,AMC2,04/20/14,AQT1-S,04/24/14,26.000,23.566,0.463,25.018,5.597,8.750,2.657,49.903,13.841,33.123,8.832,1.111,44205.8,4.080,0.000,104.518,2.277,17.408,168.502,0.668,1.096,11.628,146.592,175.260,96580.0,440.0,12153.0,3.838,25437.8,739.2,19888.5,4835.6,133.5
GMP073,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP073,AMC2,04/20/14,AQT1-S,04/24/14,17.640,24.339,0.352,23.755,5.611,3.168,2.302,51.665,13.714,31.175,8.560,1.117,43545.9,3.697,0.000,105.987,2.996,17.339,128.683,0.638,0.995,10.371,141.355,113.304,89534.2,471.1,14070.1,4.080,22092.5,756.3,13732.3,3901.2,111.5
GMP074,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP074,AMC2,04/20/14,AQT1-S,04/24/14,24.098,22.724,0.366,20.019,5.324,3.300,2.311,46.678,12.806,33.393,7.991,1.033,42303.6,4.708,0.000,105.627,2.819,15.797,187.672,0.648,0.642,10.220,93.583,158.203,90075.8,534.8,13367.7,3.992,23120.0,823.3,18649.9,4854.3,120.3
GMP075,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP075,AMC2,04/20/14,AQT1-S,04/24/14,17.154,24.255,0.349,29.780,5.219,3.677,2.593,49.770,13.691,43.278,8.285,1.105,45597.8,3.987,0.000,105.781,2.586,15.949,124.165,0.775,0.594,10.119,173.170,107.335,88233.1,462.0,10001.3,3.767,24930.5,728.6,18431.9,4641.4,116.6
GMP076,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP076,AMC2,04/20/14,AQT1-S,04/24/14,21.064,25.659,0.381,21.234,5.539,3.246,2.557,54.839,11.598,37.536,7.250,1.054,40826.0,5.017,0.000,99.157,2.541,16.112,212.450,0.713,0.929,10.324,127.801,107.560,85895.1,548.9,17160.5,4.018,26206.3,892.8,15293.9,4471.2,101.9
GMP077,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP077,AMC2,04/20/14,AQT1-S,04/24/14,24.305,26.578,0.410,27.435,5.526,8.651,2.500,56.710,12.056,31.861,7.365,1.030,43012.4,4.706,0.000,98.645,2.485,15.426,247.465,0.751,0.617,9.857,135.378,143.886,84685.5,532.2,16063.8,3.752,23428.4,847.3,14851.9,5072.4,145.4
GMP078,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP078,AMC2,04/20/14,AQT1-S,04/24/14,14.534,23.903,0.351,19.144,5.084,3.301,2.168,51.304,15.916,34.629,7.275,1.060,40251.8,5.157,41.966,100.345,2.871,15.628,138.781,0.722,0.898,9.313,129.681,135.579,81332.1,459.1,16054.4,3.527,27159.7,798.0,15032.0,5054.8,111.0
GMP079,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP079,AMC2,04/20/14,AQT1-S,04/24/14,13.557,21.446,0.328,18.742,4.634,2.671,2.206,40.289,13.509,31.242,8.031,0.992,42802.8,4.449,0.000,108.251,2.795,16.367,202.716,0.658,0.973,8.781,143.639,93.672,94607.4,483.9,13175.0,3.298,31335.8,726.6,15125.0,4420.6,107.8
GMP080,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP080,AMC3,04/20/14,AQT1-S,04/24/14,14.348,26.533,0.383,20.511,5.322,3.592,2.505,54.350,11.881,32.271,8.590,1.142,38277.4,5.474,0.000,85.576,1.794,15.094,409.825,0.800,0.645,9.228,101.630,144.816,83035.2,512.3,43213.8,3.993,21670.8,798.4,17095.5,4725.9,113.7
GMP081,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP081,AMC3,04/20/14,AQT1-S,04/24/14,18.556,19.793,0.333,19.318,4.755,2.938,2.334,41.171,13.421,31.957,9.124,1.029,39968.1,3.483,0.000,113.176,2.842,15.538,173.168,0.657,0.606,10.073,112.287,113.962,96413.0,510.3,11385.7,3.712,32319.6,676.0,15501.1,3577.9,116.5
GMP082,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP082,AMC3,04/20/14,AQT1-S,04/24/14,17.998,21.200,0.335,21.661,4.915,3.087,2.360,43.373,13.413,36.099,9.215,1.053,43700.5,4.013,0.000,106.715,2.336,16.976,137.827,0.662,0.637,10.736,118.698,79.255,94047.7,495.0,11175.9,3.440,25828.4,794.1,15886.9,4346.2,129.4
GMP083,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP083,AMC3,04/20/14,AQT1-S,04/24/14,19.350,24.378,0.401,21.643,5.439,3.667,2.611,50.798,13.723,33.315,9.989,1.139,41845.9,3.861,0.000,114.314,3.113,17.198,159.635,0.654,0.714,15.492,116.773,102.083,96864.9,583.0,13273.8,3.591,23048.3,735.1,11143.5,4563.6,124.4
GMP084,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP084,AMC3,04/20/14,AQT1-S,04/24/14,19.973,32.750,0.516,28.294,6.556,4.607,3.802,68.728,16.242,41.546,9.049,1.193,56638.4,7.967,0.000,100.947,3.839,19.803,160.445,0.978,0.851,22.757,122.011,201.710,91044.9,424.2,13288.2,4.497,20336.8,1034.4,12432.2,7074.5,192.4
GMP085,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP085,AMC3,04/20/14,AQT1-S,04/24/14,37.375,29.023,0.404,24.417,5.653,3.789,2.679,60.331,13.653,36.224,7.977,1.175,38700.4,5.610,0.000,95.120,2.675,16.328,181.585,0.742,1.015,13.098,114.908,142.536,90908.4,529.0,16413.1,4.471,21835.4,787.2,17372.1,4684.4,123.4
GMP086,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP086,AMC3,04/20/14,AQT1-S,04/24/14,13.535,27.693,0.386,25.586,5.501,3.876,2.594,55.571,12.408,28.803,8.220,1.181,39604.6,4.034,0.000,87.222,2.090,15.208,358.798,0.782,0.650,9.055,101.138,110.891,83901.1,524.4,43768.7,3.623,21681.3,900.1,18962.9,5259.6,107.9
GMP087,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP087,AMC3,04/20/14,AQT1-S,04/24/14,27.146,23.712,0.411,20.125,5.182,5.022,2.316,49.295,12.502,32.892,7.557,1.048,35629.6,4.438,0.000,98.662,2.134,14.561,202.352,0.681,0.565,9.505,97.180,136.917,83945.1,538.8,17057.0,3.510,24752.4,721.1,18638.1,3501.8,123.1
GMP088,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP088,AMC3,04/20/14,AQT1-S,04/24/14,29.725,29.566,0.525,26.134,5.979,10.510,2.432,60.184,12.971,32.058,9.131,1.095,41914.2,4.262,0.000,109.375,2.410,16.602,205.312,0.664,0.638,10.362,133.274,166.692,96045.1,506.0,12349.8,3.654,26006.9,767.7,17311.4,3975.9,115.5
GMP089,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP089,AMC3,04/20/14,AQT1-S,04/24/14,15.698,25.543,0.358,25.836,5.403,2.929,2.585,54.336,14.048,33.284,9.002,1.127,41212.0,3.974,0.000,110.578,3.115,17.020,284.978,0.664,0.715,11.166,115.323,95.317,89406.6,547.9,15558.2,3.741,30876.9,774.0,20749.3,4015.9,113.0
GMP090,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP090,AMC3,04/20/14,AQT1-S,04/24/14,17.785,29.380,0.322,25.785,5.577,3.389,2.462,59.350,11.845,35.920,6.912,1.129,37452.2,5.766,0.000,86.339,2.663,14.328,183.760,0.845,0.691,9.266,105.114,154.443,78793.6,538.9,15156.8,3.647,20990.6,837.1,17365.0,4226.9,107.9
GMP091,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP091,AMC3,04/20/14,AQT1-S,04/24/14,27.522,25.730,0.434,23.650,5.735,6.294,2.570,55.089,12.340,29.100,7.973,1.102,37986.0,5.085,0.000,101.491,2.603,16.891,305.233,0.713,0.690,11.962,112.205,133.230,85052.1,515.0,16557.7,4.092,25378.3,772.2,14389.3,4910.7,122.0
GMP092,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP092,AMC3,04/20/14,AQT2-S,04/24/14,13.135,28.759,0.399,25.365,5.835,4.368,2.713,58.203,9.390,37.139,6.697,1.115,34890.2,5.307,0.000,95.872,2.031,15.234,204.226,0.824,0.695,11.286,102.349,137.153,84367.3,554.5,14422.1,4.171,22562.1,453.3,17915.1,4530.9,114.6
GMP093,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP093,AMC3,04/20/14,AQT2-S,04/24/14,14.810,25.084,0.332,22.766,5.109,3.534,2.332,49.005,11.787,28.412,7.117,1.068,36770.3,3.904,0.000,90.133,2.324,14.499,179.879,0.638,0.556,10.094,99.282,101.683,87193.1,487.6,11381.7,3.416,21603.4,639.9,16914.7,3586.4,93.7
GMP094,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP094,AMC3,04/20/14,AQT2-S,04/24/14,30.962,25.979,0.418,24.413,5.641,3.961,2.720,54.814,12.113,30.023,7.741,1.087,38657.8,5.821,0.000,101.875,2.771,16.460,151.035,0.776,0.989,9.679,111.618,143.961,87765.6,533.0,16194.3,4.005,20343.6,717.8,15540.4,5070.7,134.8
GMP095,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP095,AMC3,04/20/14,AQT2-S,04/24/14,17.062,26.609,0.315,24.256,5.799,3.050,2.424,54.257,11.557,31.972,8.615,1.158,40599.2,3.701,0.000,103.513,3.061,16.515,131.749,0.687,0.645,11.311,119.701,89.216,88266.0,450.9,11927.3,3.549,23035.8,651.7,15883.1,3781.4,118.4
GMP096,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP096,AMC3,04/20/14,AQT2-S,04/24/14,21.335,25.180,0.384,20.580,5.184,5.782,1.922,52.443,10.559,29.836,6.925,1.034,31437.5,3.993,0.000,90.879,1.920,12.885,215.028,0.612,0.599,8.953,103.379,139.591,84416.6,578.2,13695.9,3.443,23580.9,587.7,19119.0,4462.1,120.7
GMP097,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP097,AMC3,04/20/14,AQT2-S,04/24/14,13.938,22.578,0.335,21.362,4.859,3.018,2.313,46.958,12.928,33.586,7.983,1.060,39353.1,4.712,0.000,108.314,2.831,15.183,303.307,0.696,0.552,10.030,130.658,120.675,83732.7,551.3,19322.2,3.204,22777.0,932.8,12725.3,4364.2,116.1
GMP098,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP098,AMC3,04/20/14,AQT2-S,04/24/14,38.973,22.480,0.394,23.120,5.132,6.119,2.284,46.936,11.244,29.992,7.855,0.971,41488.9,5.238,0.000,100.510,2.549,15.247,268.678,0.712,0.585,11.137,133.629,161.037,85469.6,476.0,15656.8,3.839,24323.4,667.6,15557.9,4517.6,138.9
GMP099,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP099,AMC3,04/20/14,AQT2-S,04/24/14,36.758,24.534,0.446,25.068,5.363,7.966,2.239,51.240,11.510,25.925,7.496,0.974,38796.9,4.579,0.000,94.281,2.490,15.036,239.306,0.681,0.810,8.147,125.083,136.020,82872.0,478.3,15202.5,3.490,20231.0,695.6,16595.2,4607.3,145.4
GMP100,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP100,AMC3,04/20/14,AQT2-S,04/24/14,42.733,28.321,0.519,25.604,6.160,8.225,2.693,59.334,12.197,35.888,7.958,1.178,38918.9,5.517,0.000,97.213,2.282,15.861,282.696,0.747,0.723,11.883,123.095,163.519,84944.7,549.4,15739.9,4.039,28708.1,731.3,19167.7,4565.0,127.4
GMP101,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP101,AMC3,04/20/14,AQT2-S,04/24/14,27.080,24.927,0.378,23.661,5.397,4.469,2.569,50.573,12.365,33.223,8.617,1.068,40420.4,3.716,26.467,103.589,2.275,15.793,231.124,0.702,0.644,10.400,127.293,98.909,89642.6,478.9,13583.8,3.463,28351.8,712.5,16459.6,4566.1,112.0
GMP102,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP102,AMC3,04/20/14,AQT2-S,04/24/14,30.921,25.144,0.376,24.838,5.247,7.223,1.943,50.410,10.500,25.841,6.827,1.013,30434.9,3.953,0.000,89.294,1.796,12.443,236.928,0.594,0.621,8.959,104.896,112.238,77785.4,514.1,13741.5,3.163,22582.6,509.4,18226.1,4127.6,101.2
GMP103,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP103,AMC3,04/20/14,AQT2-S,04/24/14,20.352,23.208,0.359,22.009,5.221,2.740,2.391,49.509,13.959,32.606,9.231,1.089,40972.3,3.884,0.000,115.063,2.911,16.946,151.164,0.646,0.635,10.854,134.580,120.024,91233.2,521.7,14070.8,3.706,30358.1,738.4,13192.5,4517.1,127.9
GMP104,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP104,AMC3,04/20/14,AQT2-S,04/24/14,28.206,25.786,0.472,24.130,5.656,9.407,2.314,54.555,12.318,29.439,8.054,1.019,37921.5,4.307,0.000,100.905,2.329,15.249,236.250,0.656,0.599,10.081,120.396,141.998,88283.2,567.7,14547.9,3.608,24946.1,750.1,15923.7,3522.0,122.3
GMP105,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP105,AMC3,04/20/14,AQT2-S,04/24/14,28.013,23.896,0.489,22.097,5.330,7.475,2.363,48.494,12.459,31.374,7.901,1.059,36938.8,4.167,0.000,99.784,2.561,15.469,268.731,0.677,0.656,9.817,121.639,144.440,86169.9,582.5,13258.7,3.237,27910.1,720.6,15604.4,3988.5,115.2
GMP106,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP106,AMC3,04/20/14,AQT2-S,04/24/14,17.858,27.585,0.330,26.450,5.374,2.847,2.196,55.433,12.526,30.079,8.045,1.050,38934.2,3.829,0.000,110.985,3.094,15.549,205.653,0.592,0.624,10.113,146.131,97.814,87161.9,472.0,16106.2,3.357,36292.5,720.4,16104.1,3842.5,110.9
GMP107,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP107,AMC3,04/20/14,AQT2-S,04/24/14,13.696,24.643,0.365,22.407,5.187,2.862,3.014,49.517,12.970,33.348,8.561,1.028,40692.2,4.738,0.000,105.434,2.944,16.254,173.284,0.689,0.654,11.281,157.659,105.165,90496.1,515.1,12757.2,3.623,24977.7,717.1,14517.6,4646.6,116.1
GMP108,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP108,AMC3,04/20/14,AQT2-S,04/24/14,15.658,27.777,0.407,24.844,5.608,3.149,2.433,56.183,14.436,35.991,9.294,1.126,45375.9,5.378,0.000,114.232,2.902,17.127,134.158,0.820,0.694,11.725,145.400,138.139,92046.9,455.6,12786.8,3.474,29708.7,850.5,15248.8,5364.2,146.7
GMP109,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP109,AMC3,04/20/14,AQT2-S,04/24/14,14.709,25.950,0.403,22.690,5.398,3.851,2.503,52.229,11.866,37.305,8.360,1.114,37932.9,5.423,0.000,100.227,2.783,14.483,248.547,0.740,0.768,9.225,205.675,127.606,79509.7,453.3,20159.0,3.461,26241.2,727.2,16549.6,4516.6,122.0
GMP110,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP110,AMC3,04/20/14,AQT2-S,04/24/14,31.143,26.412,0.677,27.991,7.298,22.409,2.395,58.345,13.259,30.433,8.303,1.062,40072.5,3.989,0.000,102.396,2.611,16.265,246.669,0.671,0.709,10.667,146.184,229.978,90880.9,621.2,15566.0,3.376,27425.0,793.7,14984.2,4430.7,122.1
GMP111,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP111,AMC3,04/20/14,AQT2-S,04/24/14,18.895,29.582,0.386,25.498,5.934,3.874,2.846,60.617,15.688,35.986,8.618,1.167,43463.8,4.962,0.000,105.753,3.101,17.561,178.496,0.756,0.921,12.557,140.735,137.290,93157.5,500.3,15711.8,4.234,28307.5,886.3,14285.5,4443.7,124.1
