ANID,Alt_ID,Standard,Investigator,Source,Region,Country,State/Province,County/District,Subregion,Site_Name,Site_Number,Material,Ware,Ceramic_Type,Form,Exterior_Decoration,Interior_Decoration,Paste_Color,Major_Temper,Minor_Temper,Culture,Context,Provenience,Era/Period,Date_Range,Picture,Comments,Notes,Chemgrp,Spare_ANID,Long_RDF,Long_Date,Short_RDF,Short_Date,As,La,Lu,Nd,Sm,U,Yb,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
GMP044,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP044,AMC2,04/20/14,ADF1-S,04/11/14,21.509,26.096,0.353,27.269,6.079,2.998,2.193,54.506,12.474,31.515,8.607,1.143,43666.9,4.576,0.000,104.106,3.013,17.218,138.998,0.664,1.053,11.016,141.701,149.099,89382.1,457.0,12593.2,3.922,20377.7,622.1,18087.0,4838.2,126.1
GMP045,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP045,AMC2,04/20/14,ADF1-S,04/11/14,19.508,28.756,0.363,24.854,5.710,4.016,2.618,59.929,13.428,35.969,8.366,1.190,41942.4,5.360,0.000,99.985,3.171,15.284,215.420,0.779,0.994,10.766,114.788,137.427,82739.7,521.6,14238.0,4.103,19972.8,839.2,17175.3,4827.9,118.1
GMP046,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP046,AMC2,04/20/14,ADF1-S,04/11/14,16.787,27.875,0.358,19.184,5.457,4.032,2.231,57.832,11.612,29.691,6.591,1.115,37609.4,4.968,0.000,77.432,1.889,14.588,320.225,0.742,0.953,10.015,109.943,121.724,77589.8,475.9,35848.9,3.345,21984.4,745.8,19406.4,3623.9,105.5
GMP047,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP047,AMC2,04/20/14,ADF1-S,04/11/14,15.002,23.199,0.353,23.672,5.370,3.412,2.496,49.504,13.397,33.812,7.511,1.083,42356.9,5.317,0.000,101.456,2.623,15.564,156.140,0.719,0.878,9.845,128.627,128.378,82765.9,533.6,13713.0,4.017,23576.7,762.3,15129.6,4256.6,111.5
GMP048,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP048,AMC2,04/20/14,ADF1-S,04/11/14,13.147,30.147,0.441,24.526,5.831,7.117,2.565,62.343,12.931,28.459,8.646,1.188,41518.0,4.242,0.000,88.923,1.956,15.717,278.147,0.764,1.083,9.308,81.126,134.674,79130.6,510.4,37898.2,4.532,18115.8,966.8,18655.3,4056.0,93.1
GMP049,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP049,AMC2,04/20/14,ADF1-S,04/11/14,16.165,27.328,0.374,23.188,5.662,4.687,2.734,57.798,13.328,32.973,8.365,1.094,42867.4,4.326,0.000,107.170,2.949,16.441,147.277,0.728,0.686,10.502,132.548,133.954,89451.9,579.8,13144.6,3.766,21825.7,757.8,12768.9,5094.7,125.4
GMP050,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP050,AMC2,04/20/14,ADF1-S,04/11/14,14.883,29.591,0.336,29.379,5.592,3.549,2.214,59.999,9.409,29.612,6.553,1.157,35510.6,6.471,0.000,78.209,2.697,13.724,231.286,0.819,0.662,9.312,103.305,176.993,80296.2,474.6,19923.5,4.142,17984.7,605.8,17331.5,4842.3,91.4
GMP051,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP051,AMC2,04/20/14,ADF1-S,04/11/14,18.900,26.740,0.442,24.256,5.727,4.222,2.808,55.454,14.630,33.321,9.026,1.208,46561.9,4.308,0.000,109.417,3.015,18.715,170.873,0.717,1.009,11.198,147.716,87.557,90444.5,481.9,14630.0,4.371,19708.5,805.4,13520.7,5085.3,118.6
GMP052,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP052,AMC2,04/20/14,ADF1-S,04/11/14,16.607,30.021,0.421,25.739,5.839,5.333,2.736,61.973,12.649,29.745,8.326,1.192,40873.7,4.368,0.000,92.916,2.133,15.573,312.651,0.749,0.982,9.388,106.236,141.009,78429.8,477.5,38277.0,3.848,21024.6,909.9,19340.4,3871.9,107.7
GMP053,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP053,AMC2,04/20/14,ADF1-S,04/11/14,18.033,24.478,0.377,21.478,5.186,3.809,2.346,50.448,12.265,34.717,7.900,1.072,41585.5,5.209,0.000,103.038,2.410,16.104,189.149,0.669,0.951,10.210,130.883,138.796,84026.0,407.9,16630.7,3.944,23462.7,782.0,18595.5,4594.1,104.2
GMP054,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP054,AMC2,04/20/14,ADF1-S,04/11/14,32.341,22.622,0.565,28.500,6.077,19.834,1.967,50.680,12.147,30.345,7.250,1.033,38727.5,3.741,0.000,98.275,2.074,14.838,195.674,0.580,0.609,9.600,118.745,182.247,86423.4,563.5,12847.9,3.468,21979.6,779.4,17676.4,3583.6,118.8
GMP055,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP055,AMC2,04/20/14,ADF1-S,04/11/14,14.729,24.521,0.405,20.668,5.386,4.013,2.712,52.122,13.081,33.639,8.494,1.134,41410.6,4.584,0.000,112.433,2.520,16.485,171.998,0.680,0.999,10.600,134.681,126.488,85570.2,523.6,12557.2,4.154,20323.4,678.2,10146.0,4915.2,108.0
GMP056,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP056,AMC2,04/20/14,ADF1-S,04/11/14,9.782,28.274,0.364,25.186,5.579,3.034,2.495,57.484,12.120,33.576,7.961,1.146,38538.6,5.379,0.000,102.343,2.637,14.882,245.486,0.680,0.682,10.000,124.452,163.207,84564.4,465.3,16481.8,4.213,22983.3,751.1,13347.9,4490.9,109.2
GMP057,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP057,AMC2,04/20/14,ADF1-S,04/11/14,21.053,21.354,0.327,19.497,4.609,3.316,2.442,42.297,13.406,34.655,8.523,0.970,45696.2,3.603,0.000,113.265,2.654,15.697,140.284,0.685,0.573,10.166,124.146,107.100,87781.6,472.1,10224.1,3.308,30108.7,658.2,19360.5,4413.1,130.1
GMP058,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Cajamarca Costeño (a.k.a. Sicán Painted Dish),Bowl/Plate,plain,painted,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP058,AMC2,04/20/14,ADF1-S,04/11/14,15.978,22.874,0.356,18.174,4.835,3.125,2.117,46.138,10.719,31.747,7.307,1.063,35243.1,5.089,0.000,95.536,2.398,13.295,185.252,0.647,0.625,8.976,115.221,127.446,81341.7,504.7,12015.0,3.652,18303.4,634.2,13737.6,4664.5,91.1
GMP059,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP059,AMC2,04/20/14,ADF1-S,04/11/14,23.512,28.923,0.418,43.407,6.224,3.745,2.619,58.209,14.277,35.832,8.145,1.142,45653.1,4.117,0.000,96.288,3.179,17.197,139.833,0.716,1.107,11.745,142.074,110.789,90651.6,455.6,9340.4,4.188,20643.4,857.1,16689.2,5096.7,88.9
GMP060,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP060,AMC2,04/20/14,ADF1-S,04/11/14,25.824,24.909,0.387,22.677,5.660,6.807,2.050,52.103,12.693,32.883,7.797,1.110,40527.3,4.694,0.000,100.817,2.483,14.886,216.159,0.616,0.677,11.062,122.266,144.500,82939.6,693.2,16113.5,3.392,25219.3,791.5,19488.7,3436.5,103.5
GMP061,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP061,AMC2,04/20/14,AQT1-S,04/24/14,18.972,23.634,0.384,32.146,5.473,3.288,2.644,53.433,14.516,33.141,8.178,1.117,44307.9,4.330,50.598,101.207,3.045,16.582,202.635,0.741,1.037,10.934,139.505,119.959,87709.9,487.7,12951.2,3.692,20886.5,855.6,15678.0,4346.0,117.9
GMP062,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP062,AMC2,04/20/14,AQT1-S,04/24/14,18.026,39.649,0.376,32.280,6.898,5.194,2.522,81.584,14.119,33.776,8.406,1.172,44101.5,4.374,0.000,101.670,2.890,16.579,153.243,0.701,0.761,13.707,141.717,130.254,89816.9,453.1,13460.0,4.374,22446.5,824.1,15678.2,4000.2,132.2
GMP063,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP063,AMC2,04/20/14,AQT1-S,04/24/14,17.183,26.962,0.445,22.220,5.850,6.120,2.577,55.171,14.849,40.179,10.594,1.207,49617.1,3.875,0.000,119.408,2.841,18.658,154.518,0.726,0.647,12.560,165.820,113.885,101521.2,527.7,12502.3,4.401,24767.1,747.9,13584.2,4391.8,128.6
GMP064,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP064,AMC2,04/20/14,AQT1-S,04/24/14,15.627,29.185,0.441,24.210,5.810,4.342,2.724,61.612,14.627,31.931,8.796,1.142,45513.6,4.736,0.000,105.567,2.961,18.187,132.400,0.734,0.997,11.242,149.979,95.370,90848.1,460.1,13340.2,4.094,24202.6,828.2,12894.4,4624.6,126.4
GMP065,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP065,AMC2,04/20/14,AQT1-S,04/24/14,18.640,25.135,0.340,34.015,5.545,3.382,2.514,50.816,13.070,32.042,8.163,1.123,43589.2,4.619,0.000,103.933,3.001,16.450,160.323,0.687,0.986,12.569,130.146,127.456,87986.3,444.5,13001.8,3.640,24134.2,696.8,17791.1,4136.1,118.8
GMP066,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP066,AMC2,04/20/14,AQT1-S,04/24/14,11.416,24.143,0.366,19.975,5.363,3.890,2.645,49.905,13.787,35.105,9.130,1.085,43717.7,4.376,36.582,110.327,2.673,16.871,206.269,0.670,0.622,12.913,122.305,108.428,93430.0,464.6,15924.9,4.161,28782.1,724.1,20665.4,3792.2,106.9
GMP067,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP067,AMC2,04/20/14,AQT1-S,04/24/14,39.811,24.925,0.471,21.283,5.694,11.032,2.416,51.847,13.090,35.463,8.652,1.053,42649.5,3.602,0.000,105.729,2.189,15.791,201.066,0.644,0.597,10.769,147.439,134.647,88803.5,495.1,11716.9,4.289,23443.8,727.1,18608.6,3426.8,120.2
GMP068,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP068,AMC2,04/20/14,AQT1-S,04/24/14,16.684,25.405,0.415,22.249,5.793,7.351,2.403,54.042,13.990,33.376,8.547,1.135,43167.6,4.335,0.000,104.657,2.876,17.646,172.419,0.672,0.938,11.373,147.884,115.592,87623.7,538.1,14205.0,3.697,20680.1,792.2,11556.7,4360.2,135.9
